,출발시간,목적지,운항편/항공사,터미널,체크인 카운터,탑승구,출발현황,운항속보
357,00시22분,아부다비 (AUH),WY5873오만항공,T1,C23-C35,46.0, 출발 ,
358,00시22분,아부다비 (AUH),JU7574에어세르비아,T1,C23-C35,46.0, 출발 ,
359,00시22분,아부다비 (AUH),MS8089이집트항공,T1,C23-C35,46.0, 출발 ,
360,00시22분,아부다비 (AUH),RJ3632로얄 요르단 항공,T1,C23-C35,46.0, 출발 ,
361,00시22분,아부다비 (AUH),KE7901대한항공,T1,C23-C35,46.0, 출발 ,
362,00시22분,아부다비 (AUH),SV6775사우디 아라비안 항공,T1,C23-C35,46.0, 출발 ,
363,00시22분,아부다비 (AUH),HM5377세이셸항공,T1,C23-C35,46.0, 출발 ,
364,00시22분,아부다비 (AUH),OZ6971아시아나항공,T1,C23-C35,46.0, 출발 ,
365,00시22분,아부다비 (AUH),XY3873플라이나스,T1,C23-C35,46.0, 출발 ,
366,00시25분,이스탄불 (IST),TK091터키항공,T1,E09-E18,22.0, 출발 ,-
367,00시25분,이스탄불 (IST),OZ6931아시아나항공,T1,E09-E18,22.0, 출발 ,
368,00시31분,방콕/돈므앙 (DMK),XJ703타이에어아시아엑스,T1,F19-F26,107.0, 출발 ,-
369,00시39분,도하 (DOH),QR859카타르항공,T1,D25-D34,40.0, 출발 ,-
370,00시39분,도하 (DOH),OZ6889아시아나항공,T1,D25-D34,40.0, 출발 ,
371,00시39분,도하 (DOH),AT9735로얄 에어 모로코,T1,D25-D34,40.0, 출발 ,
372,00시41분,볼레(아디스아바바) (ADD),ET673에티오피아항공,T1,E19-E26,21.0, 출발 ,-
373,01시02분,암스테르담 (AMS),KL856케에엘엠네덜란드항공,T2,E19-F05,255.0, 출발 ,-
374,01시02분,암스테르담 (AMS),KE5925대한항공,T2,E19-F05,255.0, 출발 ,
375,01시02분,암스테르담 (AMS),AF8421에어 프랑스,T2,E19-F05,255.0, 출발 ,
376,01시13분,마닐라 (MNL),5J187세부퍼시픽항공,T1,J01-J08,111.0, 출발 ,-
377,01시19분,알마티 (ALA),KC960에어 아스타나,T1,E04-E08,20.0, 출발 ,-
378,01시19분,알마티 (ALA),OZ6965아시아나항공,T1,E04-E08,20.0, 출발 ,
379,01시19분,알마티 (ALA),CX6230캐세이패시픽항공,T1,E04-E08,20.0, 출발 ,
380,01시30분,쿠알라룸푸르 (KUL),MH039말레이시아 에어라인스,T1,M11-M16,26.0, 출발 ,-
381,01시30분,쿠알라룸푸르 (KUL),KE5669대한항공,T1,M11-M16,26.0, 출발 ,
382,01시54분,나트랑 (CXR),VJ839비엣젯항공,T1,E30-E34,113.0, 출발 ,-
383,02시25분,두옹 당(푸ㅤㄲㅝㄱ) (PQC),VJ975비엣젯항공,T1,E26-E29,117.0, 출발 ,-
